DIA;TEMP_MAX;TEMP_MIN;TEM_MED;TEMP_MED PTO_ORV;TEMP_MED BUL_MOL;DEG_DAYS_BASE_18,3°_AQC;DEG_DAYS_BASE_18,3°_RES;PRECIP;PRES_MED_EST;PRES_MED_MAR;;;;;;;;
2021-06-18;30,3;23,9;26;23,8;24,3;0;7,664;8,2;1012,6;1015;3,2;65;3,2;29;135;14,5;90;18
2021-06-19;30,9;24,1;27,5;24,5;25,2;0;9,206;0,4;1013;1015,4;6,9;64;6,4;30,6;68;17,7;45;19
2021-06-20;31,3;24,3;27,9;24,7;25,4;0;9,529;0;1012;1014,4;5,5;60;4,8;24,1;45;12,9;45;20
2021-06-21;30,1;24,2;27,1;24,5;25,1;0;8,776;14,2;1011,7;1014,2;2,5;51;3,2;27,4;158;14,5;135;21
2021-06-22;31,3;24,7;28,1;24,7;25,4;0;9,764;0;1011,7;1014,1;5,8;52;6,4;24,1;90;12,9;68;22
2021-06-23;30,9;24,1;28;24,1;24,9;0;9,657;0;1011,5;1013,9;6,8;67;6,4;29;68;19,3;90;23
2021-06-24;30,9;24,9;27,5;24,2;24,9;0;9,178;4,8;1011,3;1013,7;5,3;88;4,8;32,2;112;19,3;112;24
2021-06-25;30,3;23,9;27;24,2;24,8;0;8,62;0;1011;1013,4;5;66;4,8;25,7;68;14,5;68;25
2021-06-26;30,7;23,8;27,4;24,4;25,1;0;9,039;0;1010,2;1012,6;5,6;69;4,8;29;68;14,5;90;26
2021-06-27;31,3;24,7;27,9;24,5;25,2;0;9,52;7,2;1010;1012,4;5,2;68;4,8;35,4;90;16,1;45;27
2021-06-28;30,4;23,8;26,5;23,8;24,4;0;8,167;21;1011,6;1014,1;1,7;130;3,2;20,9;158;11,3;112;28
2021-06-29;31,9;24,1;27,7;24,1;24,9;0;9,382;0;1011,8;1014,2;4,6;112;3,2;20,9;68;9,7;90;29
2021-06-30;31,8;23,9;27,5;24,3;25;0;9,165;0;1011,5;1014;5,8;116;4,8;30,6;158;17,7;158;30
2021-07-01;31,6;24,3;27,7;24,7;25,4;0;9,4;0;1011,6;1014;3,5;85;3,2;24,1;90;12,9;90;1
2021-07-02;29,6;24,8;26,6;24,3;24,8;0;7,533;4,4;1013,1;1015,5;4,4;92;3,2;27,4;45;12,9;45;2
2021-07-03;29,2;23,5;25,1;23,4;23,8;0;6,772;19,6;1013,6;1016;4,6;104;3,2;33,8;135;22,5;135;3
2021-07-04;29,2;23,2;25,8;23,8;24,2;0;7,429;1,6;1012,9;1015,3;2,4;147;3,2;16,1;112;11,3;135;4
2021-07-05;29,1;23,8;26,2;23,9;24,5;0;7,818;0,4;1013,4;1015,8;1,6;102;3,2;32,2;135;19,3;135;5
2021-07-06;30,2;23,6;26,1;23,8;24,4;0;7,816;0;1012,7;1015,1;2,7;118;3,2;30,6;135;17,7;112;6
2021-07-07;30,9;23,1;26,9;23,8;24,5;0;8,54;0;1010,8;1013,2;4,3;101;3,2;25,7;112;17,7;135;7
2021-07-08;30,5;22,9;27,1;24,2;24,8;0;8,774;7,8;1010,7;1013,2;4,2;77;4,8;30,6;135;11,3;112;8
2021-07-09;30,7;23,9;27,1;24,2;24,8;0;8,731;12,4;1010,5;1013;4,8;70;4,8;25,7;135;14,5;135;9
2021-07-10;31,2;23,6;27,3;24,6;25,2;0;8,985;3,6;1010,5;1012,9;4,3;84;4,8;27,4;135;16,1;90;10
2021-07-11;30,9;24;27;24,4;25;0;8,651;4;1010,9;1013,4;4;78;3,2;25,7;112;12,9;45;11
2021-07-12;30,4;24,7;27,6;24,8;25,4;0;9,221;0,6;1010,7;1013,1;4,3;60;4,8;22,5;68;12,9;90;12
2021-07-13;29,9;24,4;26,6;24,7;25,1;0;8,272;15,6;1011,4;1013,8;1,7;102;1,6;29;112;14,5;112;13
2021-07-14;30,7;23,6;26,1;24;24,5;0;7,78;10,4;1011,1;1013,6;2,2;105;3,2;45,1;112;24,1;112;14
2021-07-15;31,3;23,4;26,1;23,8;24,3;0;7,764;6,4;1011,1;1013,5;3,6;115;3,2;48,3;135;27,4;158;15
2021-07-16;29,5;22,8;26;23,6;24,2;0;7,62;0;1011,4;1013,8;2,9;61;4,8;20,9;90;12,9;112;16
2021-07-17;30,4;24,2;26,8;24,5;25;0;8,429;17,2;1011,5;1013,9;4,7;66;4,8;40,2;90;17,7;112;17
2021-07-18;30,8;24,4;27,1;24,4;25;0;8,721;2,2;1012,1;1014,5;4,4;103;3,2;30,6;112;19,3;135;18
2021-07-19;31,5;24,4;28;24,3;25,1;0;9,625;0;1011,3;1013,7;5,3;90;4,8;20,9;68;12,9;90;19
2021-07-20;31,2;24,7;27,5;24,7;25,3;0;9,181;2;1011,2;1013,6;4,1;88;4,8;32,2;112;19,3;135;20
2021-07-21;31,7;24,8;28,1;25;25,7;0;9,724;0;1012,5;1015;6,3;87;6,4;24,1;45;12,9;45;21
2021-07-22;31,5;25,1;27,6;24,9;25,5;0;9,262;1;1013,3;1015,7;5,6;96;4,8;38,6;135;22,5;135;22
2021-07-23;32,1;24,8;27,8;24,7;25,4;0;9,48;0;1012,3;1014,7;4,8;70;4,8;33,8;112;17,7;90;23
2021-07-24;31,3;24,8;28,1;24,7;25,4;0;9,77;2,6;1011,1;1013,6;6,4;80;6,4;24,1;68;14,5;68;24
2021-07-25;32,2;25,8;28,8;25;25,8;0;10,48;0;1010,6;1013;5,4;87;4,8;24,1;68;14,5;90;25
2021-07-26;31,7;23,4;28;24,8;25,5;0;9,659;9,8;1010,6;1013;4,5;106;4,8;48,3;135;27,4;135;26
2021-07-27;30,6;23,6;26,3;24,1;24,6;0;8,01;0,6;1011,1;1013,5;3,3;86;3,2;29;68;16,1;90;27
2021-07-28;30,3;23,9;26,2;24;24,5;0;7,878;2,4;1011,1;1013,5;2,9;82;3,2;40,2;135;19,3;135;28
2021-07-29;30,8;24,1;27,1;24,2;24,9;0;8,814;2;1012;1014,4;3,1;71;4,8;20,9;68;11,3;90;29
2021-07-30;31,2;24,2;27,9;24,7;25,4;0;9,575;0;1012;1014,5;4,7;77;6,4;25,7;68;14,5;90;30
2021-07-31;31,7;24,4;27,5;24,3;25;0;9,194;10,6;1013,1;1015,5;3,8;115;4,8;30,6;112;16,1;135;31
2021-08-01;30,2;24,5;26,9;24,3;24,9;0;8,523;6,2;1014,3;1016,8;2,2;123;3,2;33,8;135;19,3;135;1
2021-08-02;31,4;23,8;27,4;23,8;24,5;0;9,033;0;1014;1016,4;2,9;69;3,2;30,6;135;17,7;135;2
2021-08-03;31,2;24,7;27,9;24,5;25,2;0;9,599;0;1012,9;1015,3;1,7;105;1,6;16,1;90;8;90;3
2021-08-04;32,3;23,8;28,2;24,1;25;0;9,826;0;1012,7;1015,1;2,1;95;3,2;16,1;135;9,7;112;4
2021-08-05;31,2;24,7;28,6;24,9;25,7;0;8,946;0;1013,2;1015,6;5,4;77;6,4;25,7;68;16,1;90;5
2021-08-06;31,9;24,6;28,6;25;25,8;0;10,308;0;1012,9;1015,3;4,6;80;4,8;25,7;135;12,9;135;6
2021-08-07;32,9;24,2;28,8;25;25,8;0;10,426;3;1011,3;1013,8;6,3;89;6,4;56,3;158;30,6;158;7
2021-08-08;32,6;26,9;29,2;25,3;26,1;0;10,885;0;1011;1013,4;9,2;74;9,7;27,4;90;16,1;90;8
2021-08-09;31,8;25,3;28,7;24,6;25,4;0;10,329;1;1012;1014,4;9,6;87;9,7;33,8;90;17,7;112;9
2021-08-10;31,2;24,5;26,9;24,4;25;0;8,578;0,2;1011,9;1014,3;4;80;3,2;35,4;135;20,9;135;10
2021-08-11;31,9;23,3;26,8;24;24,6;0;8,466;9,2;1011;1013,4;3,4;62;3,2;29;68;17,7;90;11
2021-08-12;30;22,6;26,3;23,8;24,4;0;7,936;5;1010,7;1013,2;5,5;61;6,4;29;68;12,9;45;12
2021-08-13;30,7;23,9;26,6;24,3;24,8;0;8,245;7,2;1011,5;1013,9;6,2;72;6,4;32,2;90;17,7;90;13
2021-08-14;31;23,7;27,2;24,3;25;0;8,845;3;1011,6;1014,1;6,3;59;6,4;33,8;112;17,7;90;14
2021-08-15;32,1;24,5;27,7;24,7;25,4;0;9,383;44;1010,6;1013;1,8;40;3,2;27,4;90;12,9;90;15
2021-08-16;30,5;24,4;26,2;24,1;24,6;0;7,889;0;1010,6;1013;1,6;67;3,2;40,2;135;24,1;112;16
2021-08-17;31,9;23,3;27,4;24,5;25,1;0;9,078;0;1010,6;1013;5,3;63;4,8;25,7;90;12,9;68;17
2021-08-18;32,6;24,9;29;25,3;26,1;0;10,71;0;1010,5;1012,9;6,9;71;6,4;30,6;90;16,1;90;18
2021-08-19;32,8;25,9;29,2;25;25,9;0;10,831;0;1009,1;1011,5;7,9;86;8;29;68;14,5;90;19
2021-08-20;32,2;24,8;28,7;25;25,8;0;10,353;0,8;1008,8;1011,2;6,3;81;6,4;25,7;135;14,5;135;20
2021-08-21;32,4;27,2;29,2;25,2;26;0;10,89;0;1009,1;1011,5;9,3;81;9,7;27,4;90;16,1;90;21
2021-08-22;31,8;25,4;28,9;25,3;26;0;10,535;0;1008,6;1011;9,1;68;9,7;29;90;16,1;45;22
2021-08-23;32,4;25,6;29,1;25,1;25,9;0;10,742;0;1007,3;1009,8;9,8;73;9,7;32,2;68;17,7;90;23
2021-08-24;31,8;25,4;29;25;25,8;0;10,633;0;1007,4;1009,9;9,2;60;9,7;29;45;16,1;90;24
2021-08-25;31,3;25,7;28,4;24,7;25,5;0;10,033;0,6;1007,9;1010,3;7,1;65;8;29;90;16,1;90;25
2021-08-26;31,5;24,6;28,5;24,6;25,4;0;10,121;1,4;1008,3;1010,7;6,5;84;6,4;25,7;90;14,5;90;26
2021-08-27;32,1;24,8;28;24,9;25,6;0;8,901;1,2;1008,4;1010,8;5,4;72;6,4;43,5;135;19,3;135;27
2021-08-28;31,9;25,5;29;25,2;26;0;10,637;0;1009,7;1012,1;10,5;66;11,3;37;68;20,9;45;28
2021-08-29;31,2;25,3;28,5;24,8;25,6;0;10,149;0;1010,3;1012,7;8,9;78;9,7;33,8;112;17,7;90;29
2021-08-30;31,4;25,3;28,8;24,9;25,7;0;10,461;0;1009,4;1011,8;8,9;56;9,7;32,2;68;17,7;45;30
2021-08-31;31,8;24,6;28,5;24,1;25,1;0;10,177;0;1009,8;1012,2;9,1;58;9,7;30,6;22;19,3;90;31
2021-09-01;31,9;24,4;28,4;24,2;25,1;0;10,066;0;1010,3;1012,7;7,2;67;8;29;22;16,1;90;1
2021-09-02;32,3;24,2;28,3;23,7;24,6;0;9,993;0;1010,3;1012,7;5,1;94;4,8;24,1;45;12,9;68;2
2021-09-03;29,7;23,8;27;24,5;25,1;0;8,677;9;1010,5;1012,9;4,6;123;4,8;32,2;158;19,3;135;3
2021-09-04;31,8;24,3;27,8;24,7;25,3;0;9,451;0,2;1009,4;1011,8;7;58;6,4;33,8;68;19,3;68;4
2021-09-05;31,4;24,4;28,5;24,6;25,4;0;10,203;0;1010,1;1012,5;9,5;65;9,7;29;45;17,7;90;5
2021-09-06;31,9;25,2;28,9;25;25,9;0;10,568;0;1010;1012,4;9,8;74;9,7;30,6;68;19,3;68;6
2021-09-07;32,1;24,4;28,4;24,5;25,3;0;7,892;0;1009,2;1011,7;7,2;63;8;30,6;68;17,7;90;7
2021-09-09;29,9;28,5;29,1;25,2;26;0;2,321;0;1009,8;1012,2;12,5;65;12,9;30,6;45;19,3;90;9
2021-09-10;32,2;24,5;28,8;24,5;25,4;0;10,427;0;1010,7;1013,1;7,9;56;8;25,7;90;16,1;90;10
2021-09-11;32,1;25,2;28,7;24,2;25,2;0;10,354;0;1011,3;1013,7;8,7;50;9,7;30,6;45;19,3;68;11
2021-09-12;32,1;24,1;28,3;24,2;25,1;0;9,973;0;1011,6;1014;8;50;9,7;33,8;90;17,7;68;12
2021-09-13;31,7;24,1;28,4;24,5;25,4;0;10,063;0;1010,8;1013,2;6,6;68;8;29;90;17,7;68;13
2021-09-14;31,8;24,3;28,5;24,6;25,4;0;10,179;0;1010,5;1012,9;6,1;77;8;30,6;68;16,1;90;14
2021-09-15;32,1;24,9;28,3;24,6;25,4;0;9,948;0;1011,3;1013,7;7,1;91;8;46,7;158;19,3;112;15
2021-09-16;32,1;24,8;28,2;24,8;25,5;0;9,902;4,6;1012,1;1014,6;6,8;80;4,8;46,7;112;22,5;112;16
2021-09-17;32,1;24,9;29;24,8;25,7;0;10,648;0;1010,9;1013,3;6,7;71;8;27,4;68;16,1;90;17
2021-09-18;32,6;26,2;29,5;24,9;25,8;0;11,17;0;1009,2;1011,6;8,8;73;9,7;29;68;16,1;68;18
2021-09-19;31,9;25,7;29,5;24,9;25,8;0;11,154;0;1009,4;1011,8;10,5;73;11,3;30,6;68;17,7;68;19
2021-09-20;32,5;25;29,2;25;25,9;0;10,828;0;1009,5;1011,9;8,9;75;8;29;68;17,7;90;20
2021-09-21;32,7;25;29;25,1;25,9;0;10,639;0;1009,7;1012,1;7,6;71;8;29;90;19,3;90;21
2021-09-22;32,5;25,7;29,2;24,9;25,8;0;10,842;0;1008,7;1011,1;8,6;55;9,7;32,2;45;17,7;90;22
2021-09-23;32,2;25,2;29;24,4;25,3;0;10,657;0;1009,7;1012,1;9,2;46;9,7;30,6;90;19,3;90;23
2021-09-24;32,4;24,1;28,9;24,3;25,2;0;10,54;0;1010,8;1013,2;7,9;59;8;25,7;90;14,5;90;24
2021-09-25;32,6;25,2;29,1;24,7;25,7;0;10,796;0;1011,3;1013,7;8,8;70;6,4;29;45;14,5;45;25
2021-09-26;32,3;24,7;29;24,4;25,3;0;10,66;0;1011,5;1013,9;8,5;63;9,7;32,2;90;17,7;90;26
2021-09-27;32;24;28,8;24,3;25,2;0;10,418;0;1011,2;1013,6;7,9;63;8;30,6;45;17,7;68;27
2021-09-28;32,2;24,2;28,7;23,6;24,6;0;10,324;0;1010,2;1012,7;7,3;60;8;29;68;17,7;90;28
2021-09-29;32,7;25,3;29,3;24;25,1;0;10,955;0;1009,2;1011,7;7,7;79;8;25,7;90;14,5;68;29
2021-09-30;32,4;26,4;29,4;24,8;25,7;0;10,607;0;1008,9;1011,3;8,6;71;9,7;30,6;68;19,3;90;30
2021-10-01;32,4;26,2;29,4;24,9;25,8;0;11,061;0;1008,2;1010,6;8,2;72;9,7;30,6;68;17,7;90;1
2021-10-02;32;25,9;29,2;25,1;26;0;10,392;0;1008;1010,4;8,3;68;8;27,4;90;16,1;68;2
2021-10-03;32,3;26,4;29,1;24,7;25,6;0;10,811;0;1007,9;1010,4;9,5;75;9,7;32,2;68;17,7;90;3
2021-10-04;32,6;25,2;29,2;24,4;25,4;0;10,848;0;1008,3;1010,7;11,5;64;11,3;41,8;90;22,5;90;4
2021-10-05;32,6;24,9;29,1;24,8;25,7;0;10,732;0;1008;1010,4;9,2;62;9,7;32,2;68;17,7;68;5
2021-10-06;32,7;24,8;28,8;24,8;25,6;0;10,438;0;1008,1;1010,5;6,8;73;8;32,2;112;19,3;135;6
2021-10-07;32,3;25,3;29,3;25,3;26,1;0;10,936;0;1007,3;1009,7;8,7;66;9,7;30,6;45;17,7;90;7
2021-10-08;32,3;25,8;29,3;25,2;26;0;10,986;0;1007,6;1010;8,4;64;9,7;29;68;17,7;90;8
2021-10-09;32,6;26;28,9;25,1;25,9;0;10,572;0;1008,1;1010,5;5;50;6,4;25,7;338;14,5;90;9
2021-10-10;32,6;24,6;28,7;24,7;25,5;0;10,373;0;1008,9;1011,3;9,2;68;9,7;33,8;68;20,9;68;10
2021-10-11;32,9;24,9;29,4;24,6;25,6;0;11,027;0;1009,4;1011,8;9,9;63;9,7;32,2;45;17,7;90;11
2021-10-12;32,2;25,7;29,1;23,8;24,9;0;10,777;0;1009,1;1011,5;7,8;59;8;30,6;45;14,5;68;12
2021-10-13;32,7;24,3;28,9;24,3;25,3;0;10,567;0;1008,5;1010,9;8,4;69;9,7;32,2;68;17,7;90;13
2021-10-14;32,2;25,8;29,1;24,1;25,2;0;10,77;0;1008,3;1010,7;9,8;48;9,7;30,6;45;17,7;68;14
2021-10-15;32,5;24,7;28,8;23,8;24,9;0;10,488;0;1009,3;1011,7;8;51;8;25,7;45;14,5;45;15
2021-10-16;32,6;25,9;29,3;24,8;25,7;0;10,852;0;1009;1011,4;9,2;49;9,7;30,6;68;19,3;90;16
2021-10-17;32,8;25,6;29,4;25,2;26,1;0;11,066;0;1008,8;1011,2;7,8;60;8;29;68;17,7;90;17
2021-10-18;32,7;25,7;29,2;25;25,9;0;10,869;0;1009,2;1011,6;6,4;65;8;29;90;17,7;112;18
2021-10-19;32,3;24,3;28,7;24,6;25,4;0;10,268;0;1009,9;1012,3;4,8;97;6,4;24,1;68;14,5;90;19
2021-10-20;32,3;25,5;29;25;25,8;0;10,668;1,6;1010,1;1012,6;6,9;67;8;29;112;17,7;90;20
2021-10-21;32,7;26,3;29,5;24,8;25,8;0;11,176;0;1008,8;1011,2;10;65;11,3;37;68;20,9;68;21
2021-10-22;32,8;24,6;28,4;24,5;25,3;0;10,074;0;1008,7;1011,1;3,2;59;6,4;33,8;315;16,1;68;22
2021-10-23;32,6;24,7;27,9;24,9;25,6;0;9,587;11,6;1008,8;1011,2;4,5;85;4,8;27,4;112;16,1;112;23
2021-10-24;32,4;25,2;28,7;25,3;26;0;10,382;2,2;1008,8;1011,2;8,6;80;8;30,6;112;19,3;90;24
2021-10-25;32,8;24,8;29;25,3;26,1;0;10,617;0;1009,8;1012,3;7,2;83;6,4;33,8;90;17,7;90;25
2021-10-26;32,8;25,6;29,5;25,1;26;0;11,174;0;1009,5;1011,9;9,1;58;9,7;35,4;90;19,3;90;26
2021-10-27;32,3;25,7;29,1;24;25,1;0;10,722;0;1010;1012,5;9,5;46;9,7;32,2;45;17,7;68;27
2021-10-28;32,1;25,1;28,9;23,7;24,8;0;10,571;0;1011,1;1013,5;7,9;67;9,7;25,7;90;16,1;90;28
2021-10-29;31,8;24,1;28,5;24,6;25,4;0;10,208;18,8;1010,2;1012,6;6,2;85;6,4;33,8;112;19,3;112;29
2021-10-30;32,9;24,9;28,3;24,5;25,3;0;9,933;0;1008,9;1011,3;3,4;51;4,8;22,5;90;12,9;90;30
2021-10-31;31,8;25,9;28,4;24,8;25,6;0;8,395;0;1009,1;1011,6;5,1;68;6,4;33,8;90;20,9;90;31
2021-11-01;31,6;23,8;27,8;24,7;25,4;0;8,718;16;1009,5;1011,9;6,6;59;6,4;30,6;112;16,1;68;1
2021-11-02;31,2;24,8;28,3;25,1;25,7;0;9,919;0;1009,1;1011,5;6,2;81;6,4;24,1;68;14,5;90;2
2021-11-03;31,1;24,7;28,2;24,9;25,6;0;9,887;0;1008,3;1010,7;6,4;53;6,4;38,6;90;19,3;90;3
2021-11-04;31,8;24,3;28,8;24,5;25,4;0;10,431;0;1008,6;1011;7,5;63;8;32,2;68;20,9;90;4
2021-11-05;33,2;24,7;28,9;24,7;25,6;0;10,531;0;1008;1010,4;6,1;63;8;29;22;14,5;22;5
2021-11-06;32,6;24,9;28,9;25,1;25,9;0;10,616;0;1008;1010,4;6,3;50;8;27,4;68;16,1;68;6
2021-11-07;31,6;24,7;28,1;24,5;25,3;0;9,793;0;1008,6;1011;5,1;45;8;29;45;17,7;90;7
2021-11-08;31,8;24,8;28;24,4;25,2;0;9,698;6,2;1008,1;1010,5;4;48;6,4;38,6;45;20,9;22;8
2021-11-09;29,9;24,3;25,7;23,9;24,4;0;7,41;3;1008,7;1011,1;2,8;307;4,8;33,8;112;17,7;112;9
2021-11-10;29,8;23,9;26,9;24,2;24,8;0;8,569;3;1008,9;1011,3;6,7;56;6,4;25,7;68;14,5;90;10
2021-11-11;31,9;24,3;28,2;24,2;25;0;9,89;0;1008,8;1011,2;6,7;50;6,4;27,4;90;14,5;90;11
2021-11-12;32,1;24,2;28,6;24,2;25,1;0;10,293;0;1008,8;1011,2;6,7;49;8;25,7;45;14,5;45;12
2021-11-13;31,8;24,5;28,6;24,1;25,1;0;10,231;0;1007,6;1010;6;67;6,4;24,1;22;14,5;112;13
2021-11-14;32;24,8;28,5;24,6;25,4;0;10,2;0;1008;1010,4;6;64;6,4;24,1;68;16,1;68;14
2021-11-15;31,3;25,8;28,3;24,7;25,5;0;9,966;0;1007,9;1010,3;7,4;61;8;38,6;112;20,9;112;15
2021-11-16;31,8;24,4;28,3;24,1;25;0;9,99;0,2;1007,6;1010;7,8;57;8;32,2;45;19,3;68;16
2021-11-17;32,1;25,6;29;24,8;25,7;0;10,656;0;1006,8;1009,2;8,2;52;9,7;32,2;68;19,3;90;17
2021-11-18;32,9;24,8;28,8;24,4;25,3;0;10,463;0;1007,3;1009,7;5,8;36;6,4;27,4;45;14,5;22;18
2021-11-19;32,6;24,3;29,1;24,8;25,7;0;9,864;0;1007;1009,4;6,6;52;8;29;45;14,5;45;19
2021-11-20;31,2;22,5;26,3;24,5;24,9;0;8,002;241;1007,8;1010,2;2,3;60;4,8;49,9;22;25,7;135;20
2021-11-21;31,1;23,3;26,4;24,5;24,9;0;8,055;10;1007,7;1010,1;2,6;47;3,2;37;135;17,7;135;21
2021-11-22;31,9;25,2;28,5;25,2;25,9;0;10,213;0;1007,6;1010,1;6,8;53;8;25,7;68;16,1;90;22
2021-11-23;32,4;24,7;28,7;24,8;25,6;0;9,371;0;1008,5;1010,9;6,6;53;6,4;27,4;68;12,9;90;23
2021-11-24;28,1;25,9;27,3;24,7;25,3;0;3,064;0;1008,1;1010,5;1,8;26;1,6;16,1;45;8;22;24
2021-11-25;31,5;24,1;27,7;24,7;25,4;0;9,337;5,6;1008;1010,4;4;53;4,8;30,6;90;19,3;90;25
2021-11-26;31,3;24,7;28;25,1;25,7;0;9,676;0,2;1008;1010,4;4,4;51;4,8;24,1;45;12,9;68;26
2021-11-27;31,3;25;27,5;24,6;25,3;0;9,159;0;1008,3;1010,7;3,1;20;4,8;32,2;112;14,5;68;27
2021-11-28;32;23,8;27,7;24,6;25,3;0;9,389;2,4;1007,9;1010,3;5,2;72;4,8;37;90;19,3;90;28
2021-11-29;31,9;24,6;28;24,9;25,6;0;9,623;4,4;1007,7;1010,1;4,9;65;4,8;48,3;90;27,4;90;29
2021-11-30;32,3;24,7;28,4;25;25,7;0;10,073;5;1007,8;1010,2;6;46;6,4;30,6;68;14,5;68;30
2021-12-01;31,4;24,5;28,1;24,9;25,6;0;9,795;1;1007,7;1010,1;5,8;45;6,4;29;22;14,5;90;1
2021-12-02;31,8;24,3;27,4;24,4;25,1;0;9,112;0;1007,9;1010,3;2,6;28;4,8;32,2;68;16,1;68;2
2021-12-03;30,2;24,1;26,1;24,1;24,5;0;7,779;0,4;1007,3;1009,7;4,3;315;4,8;17,7;315;11,3;315;3
2021-12-04;27,9;24,3;25,6;23,7;24,1;0;7,302;4,6;1008,8;1011,3;2,4;84;1,6;25,7;22;12,9;68;4
2021-12-05;30,2;23,2;25,4;23,6;24;0;7,054;8,2;1009,3;1011,7;3,7;59;3,2;45,1;90;22,5;90;5
2021-12-06;30,8;23,1;26,3;24,1;24,6;0;7,956;19,6;1008,8;1011,2;4,1;56;4,8;38,6;90;20,9;90;6
2021-12-07;30,9;24,7;26,7;24,6;25,1;0;8,395;0,4;1007,6;1010;2,6;51;4,8;45,1;90;24,1;90;7
2021-12-08;30,8;24,5;26,5;24,8;25,2;0;8,197;13,6;1008,2;1010,6;0,6;332;3,2;24,1;112;14,5;90;8
2021-12-09;31,1;24,4;27,3;24,9;25,4;0;8,925;0,4;1007,9;1010,4;3,4;49;4,8;35,4;68;19,3;68;9
2021-12-10;30,7;24,3;27,5;24,9;25,5;0;9,174;0,4;1006,2;1008,6;5,6;60;6,4;41,8;68;22,5;90;10
2021-12-11;31,4;24,8;28;25,2;25,8;0;9,715;0;1005,1;1007,5;7,4;65;8;41,8;68;24,1;90;11
2021-12-12;32,1;25,1;28,6;24,9;25,7;0;9,865;0;1005,7;1008,1;7,6;50;6,4;33,8;68;19,3;68;12
2021-12-13;31,8;24,5;28,3;25,1;25,8;0;9,936;0;1006,9;1009,3;6;48;6,4;27,4;68;16,1;68;13
2021-12-14;31,5;25;28,5;25,3;26;0;10,052;0;1007,1;1009,5;6,4;55;8;29;45;16,1;90;14
2021-12-15;31,9;25,5;28,6;25,3;26;0;10,274;0;1006,6;1009,1;7,4;53;8;30,6;68;17,7;68;15
2021-12-16;31,1;25;28,1;24,9;25,6;0;9,723;0;1006,9;1009,3;6,8;52;8;37;68;20,9;68;16
2021-12-17;31,8;24,3;28;24,7;25,4;0;9,708;0;1007,2;1009,6;8,4;53;8;33,8;90;19,3;90;17
2021-12-18;32,2;25,2;28,9;24,7;25,6;0;10,529;0;1007,8;1010,2;8,4;49;8;29;45;17,7;45;18
2021-12-19;31,3;24,7;28,4;25;25,7;0;10,083;0;1007,1;1009,5;8,9;45;9,7;33,8;68;20,9;68;19
2021-12-20;31,7;25,3;28,6;25,3;26;0;10,23;0,2;1006,9;1009,3;7,7;44;8;30,6;22;17,7;45;20
2021-12-21;32;25,1;28,5;25,3;26;0;10,194;0;1006,5;1008,9;5,8;74;6,4;29;68;17,7;68;21
2021-12-22;32,3;24,9;28,9;25,4;26,2;0;10,548;4,6;1007,5;1009,9;9;69;9,7;43,5;112;20,9;68;22
